App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
5965083,HDR,9/14/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5965197,HDR,9/22/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5956517,HDR,12/11/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5962421,HDR,3/9/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5964708,HDR,8/20/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,10/3/2020 17:00
5957839,HDR,1/6/2020,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Copy of DMV license needed,10/3/2020 17:00
5958665,HDR,1/16/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,10/3/2020 17:00
5964307,HDR,7/27/2020,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,10/3/2020 17:00
5961191,HDR,2/22/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,10/3/2020 17:00
5964440,HDR,8/4/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5964338,HDR,7/29/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5961733,HDR,3/1/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5921783,HDR,2/6/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Copy of DMV license needed,10/3/2020 17:00
5957616,HDR,1/2/2020,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5958987,HDR,1/21/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5962929,HDR,3/16/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5962300,HDR,3/7/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5959980,HDR,2/4/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,10/3/2020 17:00
5963892,HDR,6/25/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5961452,HDR,2/26/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5956469,HDR,12/11/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5960685,HDR,2/16/2020,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5962060,HDR,3/5/2020,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed,10/3/2020 17:00
5962370,HDR,3/9/2020,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/3/2020 17:00
5958888,HDR,1/21/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5921788,HDR,2/6/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Copy of DMV license needed,10/3/2020 17:00
5956747,HDR,12/16/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
5958712,HDR,1/17/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5960305,HDR,2/9/2020,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/3/2020 17:00
5965294,HDR,9/28/2020,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/3/2020 17:00
